index,UID,Date,GroupDayType,Sleep onset,Sleep offset,Sleep duration,Sleep onset MSLM,Sleep offset MSLM,Activity
2,winter0112,2018-02-08,winterWeekday,2018-02-09 03:55:45,2018-02-09 09:59:45,6.066666666666666,1675.75,599.75,15853.16147176002
8,winter0112,2018-02-09,winterWeekday,2018-02-10 03:46:30,2018-02-10 12:44:30,8.966666666666667,1666.5,764.5,18256.432909994477
7,winter0112,2018-02-10,winterWeekend/Holiday,2018-02-11 03:50:00,2018-02-11 13:21:30,9.525,1670.0,801.5,20681.729598051155
10,winter0112,2018-02-11,winterWeekend/Holiday,2018-02-12 03:02:30,2018-02-12 07:29:30,4.45,1622.5,449.5,17155.551679023112
11,winter0112,2018-02-12,winterWeekday,2018-02-13 02:36:00,2018-02-13 11:03:15,8.454166666666667,1596.0,663.25,22383.45740281224
13,winter0112,2018-02-13,winterWeekday,2018-02-14 02:10:00,2018-02-14 07:23:45,5.229166666666667,1570.0,443.75,13887.31575669504
5,winter0112,2018-02-14,winterWeekday,2018-02-15 03:28:00,2018-02-15 10:19:30,6.858333333333333,1648.0,619.5,17086.443890274317
12,winter0112,2018-02-15,winterWeekday,2018-02-16 03:02:00,2018-02-16 12:16:00,9.233333333333333,1622.0,736.0,18311.326860841426
9,winter0112,2018-02-16,winterWeekday,2018-02-17 03:43:00,2018-02-17 12:41:15,8.970833333333333,1663.0,761.25,14097.116650049851
3,winter0112,2018-02-17,winterWeekend/Holiday,2018-02-18 09:35:00,2018-02-18 14:11:00,4.6,2015.0,851.0,19606.49142857143
1,winter0112,2018-02-18,winterWeekend/Holiday,2018-02-19 04:46:00,2018-02-19 14:08:15,9.370833333333334,1726.0,848.25,19679.498956158663
14,winter0112,2018-02-19,winterWeekend/Holiday,2018-02-20 04:06:30,2018-02-20 13:14:30,9.133333333333333,1686.5,794.5,16776.149471974004
6,winter0112,2018-02-20,winterWeekday,2018-02-21 04:37:45,2018-02-21 10:59:15,6.358333333333333,1717.75,659.25,21089.222462203023
0,winter0112,2018-02-21,winterWeekday,2018-02-22 02:25:15,2018-02-22 10:29:30,8.070833333333333,1585.25,629.5,0.0
4,winter0112,2018-02-22,winterWeekday,2018-02-22 00:00:00,2018-02-22 00:00:00,0.0,0.0,0.0,0.0
30,winter0002,2018-01-08,winterWeekday,2018-01-08 00:00:00,2018-01-08 00:00:00,0.0,0.0,0.0,3111.416339636104
28,winter0002,2018-01-09,winterWeekday,2018-01-09 22:43:00,2018-01-10 06:02:30,7.325,1363.0,362.5,14628.47775175644
22,winter0002,2018-01-10,winterWeekday,2018-01-10 23:50:00,2018-01-11 05:59:30,6.158333333333333,1430.0,359.5,14826.634787806335
16,winter0002,2018-01-11,winterWeekday,2018-01-12 02:54:15,2018-01-12 05:50:15,2.933333333333333,1614.25,350.25,11023.86697328852
27,winter0002,2018-01-12,winterWeekday,2018-01-13 05:23:30,2018-01-13 09:17:15,3.8958333333333335,1763.5,557.25,16732.969837587007
15,winter0002,2018-01-13,winterWeekend/Holiday,2018-01-13 23:39:15,2018-01-14 08:48:30,9.154166666666667,1419.25,528.5,0.0
17,winter0002,2018-01-14,winterWeekend/Holiday,2018-01-14 00:00:00,2018-01-14 00:00:00,0.0,0.0,0.0,11078.916666666666
29,winter0002,2018-01-15,winterWeekend/Holiday,2018-01-15 00:00:00,2018-01-15 00:00:00,0.0,0.0,0.0,2091.4902363823226
18,winter0002,2018-01-16,winterWeekday,2018-01-17 00:39:00,2018-01-17 04:38:15,3.9875,1479.0,278.25,14742.7847128865
23,winter0002,2018-01-17,winterWeekday,2018-01-18 02:20:00,2018-01-18 07:54:15,5.570833333333334,1580.0,474.25,18934.829416224413
19,winter0002,2018-01-18,winterWeekday,2018-01-19 00:23:30,2018-01-19 05:19:45,4.9375,1463.5,319.75,14240.938131823696
20,winter0002,2018-01-19,winterWeekday,2018-01-20 01:56:15,2018-01-20 08:09:15,6.216666666666667,1556.25,489.25,15754.206471494606
24,winter0002,2018-01-20,winterWeekend/Holiday,2018-01-20 21:40:30,2018-01-21 08:31:45,10.854166666666666,1300.5,511.75,14441.295896328293
21,winter0002,2018-01-21,winterWeekend/Holiday,2018-01-22 01:53:30,2018-01-22 05:29:30,3.6,1553.5,329.5,14210.80129689671
26,winter0002,2018-01-22,winterWeekday,2018-01-22 23:29:00,2018-01-23 06:06:00,6.616666666666666,1409.0,366.0,0.0
25,winter0002,2018-01-23,winterWeekday,2018-01-23 00:00:00,2018-01-23 00:00:00,0.0,0.0,0.0,0.0
42,winter0060,2018-01-23,winterWeekday,2018-01-23 00:00:00,2018-01-23 00:00:00,0.0,0.0,0.0,2904.4578604201884
33,winter0060,2018-01-24,winterWeekday,2018-01-25 03:45:45,2018-01-25 11:14:45,7.483333333333333,1665.75,674.75,8446.215316315205
39,winter0060,2018-01-25,winterWeekday,2018-01-26 02:15:45,2018-01-26 09:29:45,7.233333333333333,1575.75,569.75,13529.423076923078
35,winter0060,2018-01-26,winterWeekday,2018-01-27 02:49:45,2018-01-27 09:47:45,6.966666666666667,1609.75,587.75,11994.613618974752
41,winter0060,2018-01-27,winterWeekend/Holiday,2018-01-28 02:08:00,2018-01-28 12:33:15,10.420833333333333,1568.0,753.25,10666.692087702573
40,winter0060,2018-01-28,winterWeekend/Holiday,2018-01-29 01:40:00,2018-01-29 10:29:15,8.820833333333333,1540.0,629.25,11261.379310344828
38,winter0060,2018-01-29,winterWeekday,2018-01-30 02:55:15,2018-01-30 11:28:00,8.545833333333333,1615.25,688.0,8282.460796139927
43,winter0060,2018-01-30,winterWeekday,2018-01-31 01:17:00,2018-01-31 10:27:00,9.166666666666666,1517.0,627.0,10542.984844592858
36,winter0060,2018-01-31,winterWeekday,2018-02-01 02:40:15,2018-02-01 11:15:45,8.591666666666667,1600.25,675.75,9460.747400955324
37,winter0060,2018-02-01,winterWeekday,2018-02-02 02:05:30,2018-02-02 09:10:15,7.079166666666667,1565.5,550.25,11950.895420369103
44,winter0060,2018-02-02,winterWeekday,2018-02-03 03:27:30,2018-02-03 10:53:30,7.433333333333334,1647.5,653.5,12732.572027239392
32,winter0060,2018-02-03,winterWeekend/Holiday,2018-02-04 02:48:00,2018-02-04 13:20:15,10.5375,1608.0,800.25,8679.1820315119
34,winter0060,2018-02-04,winterWeekend/Holiday,2018-02-05 01:46:00,2018-02-05 11:38:15,9.870833333333334,1546.0,698.25,9120.792481584964
46,winter0060,2018-02-05,winterWeekday,2018-02-06 04:02:30,2018-02-06 12:18:15,8.2625,1682.5,738.25,8336.130117779025
45,winter0060,2018-02-06,winterWeekday,2018-02-07 03:09:45,2018-02-07 10:36:00,7.4375,1629.75,636.0,0.0
31,winter0060,2018-02-07,winterWeekday,2018-02-07 00:00:00,2018-02-07 00:00:00,0.0,0.0,0.0,0.0
49,winter0119,2018-02-08,winterWeekday,2018-02-09 03:49:30,2018-02-09 11:25:15,7.595833333333333,1669.5,685.25,16213.512605042015
55,winter0119,2018-02-09,winterWeekday,2018-02-10 04:46:30,2018-02-10 12:26:45,7.670833333333333,1726.5,746.75,16135.845213849287
54,winter0119,2018-02-10,winterWeekend/Holiday,2018-02-11 04:48:45,2018-02-11 13:01:00,8.204166666666667,1728.75,781.0,13150.336067742788
57,winter0119,2018-02-11,winterWeekend/Holiday,2018-02-12 04:45:45,2018-02-12 10:43:00,5.954166666666667,1725.75,643.0,19020.83916083916
58,winter0119,2018-02-12,winterWeekday,2018-02-13 03:24:00,2018-02-13 07:39:30,4.258333333333334,1644.0,459.5,10150.845691382765
60,winter0119,2018-02-13,winterWeekday,2018-02-14 04:27:00,2018-02-14 10:59:30,6.541666666666667,1707.0,659.5,0.0
52,winter0119,2018-02-14,winterWeekday,2018-02-14 00:00:00,2018-02-14 00:00:00,0.0,0.0,0.0,8409.791666666666
59,winter0119,2018-02-15,winterWeekday,2018-02-15 00:00:00,2018-02-15 00:00:00,0.0,0.0,0.0,10065.152809727242
56,winter0119,2018-02-16,winterWeekday,2018-02-17 02:43:00,2018-02-17 08:07:15,5.404166666666667,1603.0,487.25,14508.191757779647
50,winter0119,2018-02-17,winterWeekend/Holiday,2018-02-18 03:56:15,2018-02-18 14:05:00,10.145833333333334,1676.25,845.0,10702.527441598648
48,winter0119,2018-02-18,winterWeekend/Holiday,2018-02-19 04:53:15,2018-02-19 13:34:45,8.691666666666666,1733.25,814.75,11804.884713919728
61,winter0119,2018-02-19,winterWeekend/Holiday,2018-02-20 04:13:00,2018-02-20 13:19:30,9.108333333333333,1693.0,799.5,16416.26740947075
53,winter0119,2018-02-20,winterWeekday,2018-02-21 04:17:00,2018-02-21 11:30:45,7.229166666666667,1697.0,690.75,13692.92490118577
47,winter0119,2018-02-21,winterWeekday,2018-02-22 04:22:45,2018-02-22 11:10:30,6.795833333333333,1702.75,670.5,0.0
51,winter0119,2018-02-22,winterWeekday,2018-02-22 00:00:00,2018-02-22 00:00:00,0.0,0.0,0.0,0.0
76,winter0089,2018-02-07,winterWeekday,2018-02-07 00:00:00,2018-02-07 00:00:00,0.0,0.0,0.0,5380.604090014546
64,winter0089,2018-02-08,winterWeekday,2018-02-09 00:41:45,2018-02-09 11:10:00,10.470833333333333,1481.75,670.0,15512.925170068029
71,winter0089,2018-02-09,winterWeekday,2018-02-10 01:52:00,2018-02-10 10:33:30,8.691666666666666,1552.0,633.5,7547.924717691342
69,winter0089,2018-02-10,winterWeekend/Holiday,2018-02-11 03:09:45,2018-02-11 09:30:15,6.341666666666667,1629.75,570.25,12599.387755102041
73,winter0089,2018-02-11,winterWeekend/Holiday,2018-02-12 00:12:15,2018-02-12 09:30:00,9.295833333333333,1452.25,570.0,10438.115517700293
74,winter0089,2018-02-12,winterWeekday,2018-02-13 01:09:15,2018-02-13 09:24:00,8.245833333333334,1509.25,564.0,11824.428715874621
70,winter0089,2018-02-13,winterWeekday,2018-02-14 01:53:00,2018-02-14 08:00:00,6.116666666666666,1553.0,480.0,12583.59420289855
67,winter0089,2018-02-14,winterWeekday,2018-02-15 01:15:00,2018-02-15 07:29:45,6.245833333333334,1515.0,449.75,15334.454589139837
75,winter0089,2018-02-15,winterWeekday,2018-02-16 00:50:15,2018-02-16 08:14:30,7.404166666666667,1490.25,494.5,13991.366316329146
72,winter0089,2018-02-16,winterWeekday,2018-02-17 00:29:45,2018-02-17 09:59:45,9.5,1469.75,599.75,10172.021426557654
65,winter0089,2018-02-17,winterWeekend/Holiday,2018-02-18 00:46:30,2018-02-18 08:28:45,7.704166666666667,1486.5,508.75,14762.462299134733
63,winter0089,2018-02-18,winterWeekend/Holiday,2018-02-19 01:20:00,2018-02-19 10:50:45,9.5125,1520.0,650.75,9961.572691252668
77,winter0089,2018-02-19,winterWeekend/Holiday,2018-02-20 00:31:00,2018-02-20 09:38:00,9.116666666666667,1471.0,578.0,12700.321217244295
68,winter0089,2018-02-20,winterWeekday,2018-02-21 00:25:15,2018-02-21 08:00:00,7.579166666666667,1465.25,480.0,12099.254440830624
62,winter0089,2018-02-21,winterWeekday,2018-02-22 00:39:15,2018-02-22 08:17:00,7.629166666666666,1479.25,497.0,0.0
66,winter0089,2018-02-22,winterWeekday,2018-02-22 00:00:00,2018-02-22 00:00:00,0.0,0.0,0.0,0.0
93,winter0021,2018-01-08,winterWeekday,2018-01-08 00:00:00,2018-01-08 00:00:00,0.0,0.0,0.0,6233.629046069533
91,winter0021,2018-01-09,winterWeekday,2018-01-10 00:39:30,2018-01-10 08:34:15,7.9125,1479.5,514.25,22334.110135674382
85,winter0021,2018-01-10,winterWeekday,2018-01-11 00:14:00,2018-01-11 09:33:45,9.329166666666667,1454.0,573.75,22893.303637713438
79,winter0021,2018-01-11,winterWeekday,2018-01-12 02:24:00,2018-01-12 09:41:15,7.2875,1584.0,581.25,22078.41865179929
90,winter0021,2018-01-12,winterWeekday,2018-01-13 02:07:45,2018-01-13 09:57:00,7.820833333333334,1567.75,597.0,30896.226012793177
78,winter0021,2018-01-13,winterWeekend/Holiday,2018-01-14 01:35:00,2018-01-14 08:20:30,6.758333333333334,1535.0,500.5,14879.517709118314
80,winter0021,2018-01-14,winterWeekend/Holiday,2018-01-15 00:55:45,2018-01-15 09:53:15,8.958333333333334,1495.75,593.25,13633.317757009345
92,winter0021,2018-01-15,winterWeekend/Holiday,2018-01-16 00:09:15,2018-01-16 08:12:15,8.05,1449.25,492.25,18894.89526764934
81,winter0021,2018-01-16,winterWeekday,2018-01-17 00:19:00,2018-01-17 07:59:15,7.670833333333333,1459.0,479.25,20798.214754528748
86,winter0021,2018-01-17,winterWeekday,2018-01-17 23:51:30,2018-01-18 08:22:15,8.5125,1431.5,502.25,16964.734819369718
82,winter0021,2018-01-18,winterWeekday,2018-01-19 00:38:00,2018-01-19 08:01:15,7.3875,1478.0,481.25,19520.244878737933
83,winter0021,2018-01-19,winterWeekday,2018-01-20 01:43:00,2018-01-20 09:55:45,8.2125,1543.0,595.75,14236.865203761756
87,winter0021,2018-01-20,winterWeekend/Holiday,2018-01-21 01:52:45,2018-01-21 08:35:15,6.708333333333333,1552.75,515.25,19034.92898474487
84,winter0021,2018-01-21,winterWeekend/Holiday,2018-01-22 00:25:45,2018-01-22 08:14:45,7.816666666666666,1465.75,494.75,22346.74163046256
89,winter0021,2018-01-22,winterWeekday,2018-01-23 00:33:00,2018-01-23 07:52:15,7.320833333333334,1473.0,472.25,0.0
88,winter0021,2018-01-23,winterWeekday,2018-01-23 00:00:00,2018-01-23 00:00:00,0.0,0.0,0.0,0.0
109,winter0034,2018-01-08,winterWeekday,2018-01-08 00:00:00,2018-01-08 00:00:00,0.0,0.0,0.0,2946.124360419738
107,winter0034,2018-01-09,winterWeekday,2018-01-10 00:02:45,2018-01-10 09:11:30,9.145833333333334,1442.75,551.5,17038.20134898826
101,winter0034,2018-01-10,winterWeekday,2018-01-11 01:52:15,2018-01-11 06:04:00,4.195833333333334,1552.25,364.0,20480.884749708963
95,winter0034,2018-01-11,winterWeekday,2018-01-12 03:32:30,2018-01-12 08:39:00,5.108333333333333,1652.5,519.0,16745.03351051537
106,winter0034,2018-01-12,winterWeekday,2018-01-13 02:40:45,2018-01-13 08:54:30,6.229166666666667,1600.75,534.5,13973.672316384182
94,winter0034,2018-01-13,winterWeekend/Holiday,2018-01-14 02:36:30,2018-01-14 08:46:30,6.166666666666667,1596.5,526.5,13554.621329211746
96,winter0034,2018-01-14,winterWeekend/Holiday,2018-01-15 03:38:45,2018-01-15 11:36:00,7.954166666666667,1658.75,696.0,11625.192045764097
108,winter0034,2018-01-15,winterWeekend/Holiday,2018-01-16 02:53:45,2018-01-16 08:26:30,5.545833333333333,1613.75,506.5,15463.572575097454
97,winter0034,2018-01-16,winterWeekday,2018-01-17 02:36:45,2018-01-17 09:27:00,6.8375,1596.75,567.0,16024.11698537683
102,winter0034,2018-01-17,winterWeekday,2018-01-18 03:58:15,2018-01-18 09:47:30,5.820833333333334,1678.25,587.5,16049.560351718626
98,winter0034,2018-01-18,winterWeekday,2018-01-19 01:25:45,2018-01-19 08:59:15,7.558333333333334,1525.75,539.25,19120.864007053122
99,winter0034,2018-01-19,winterWeekday,2018-01-20 03:53:30,2018-01-20 10:44:45,6.854166666666667,1673.5,644.75,11610.577079382281
103,winter0034,2018-01-20,winterWeekend/Holiday,2018-01-21 02:07:30,2018-01-21 10:43:45,8.604166666666666,1567.5,643.75,18612.977303070762
100,winter0034,2018-01-21,winterWeekend/Holiday,2018-01-22 02:20:00,2018-01-22 09:12:45,6.879166666666666,1580.0,552.75,17482.903846153848
105,winter0034,2018-01-22,winterWeekday,2018-01-23 02:32:45,2018-01-23 07:48:45,5.266666666666667,1592.75,468.75,0.0
104,winter0034,2018-01-23,winterWeekday,2018-01-23 00:00:00,2018-01-23 00:00:00,0.0,0.0,0.0,0.0
125,winter0016,2018-01-08,winterWeekday,2018-01-08 00:00:00,2018-01-08 00:00:00,0.0,0.0,0.0,2725.4640980735553
123,winter0016,2018-01-09,winterWeekday,2018-01-10 01:57:45,2018-01-10 08:59:30,7.029166666666667,1557.75,539.5,16039.02283590016
117,winter0016,2018-01-10,winterWeekday,2018-01-11 00:41:00,2018-01-11 07:47:00,7.1,1481.0,467.0,12871.173626373627
111,winter0016,2018-01-11,winterWeekday,2018-01-12 02:44:30,2018-01-12 09:20:00,6.591666666666667,1604.5,560.0,18902.61730723886
122,winter0016,2018-01-12,winterWeekday,2018-01-13 03:00:15,2018-01-13 11:06:15,8.1,1620.25,666.25,15506.386233269599
110,winter0016,2018-01-13,winterWeekend/Holiday,2018-01-14 04:32:15,2018-01-14 11:57:30,7.420833333333333,1712.25,717.5,10381.107011070111
112,winter0016,2018-01-14,winterWeekend/Holiday,2018-01-15 00:22:45,2018-01-15 11:21:30,10.979166666666666,1462.75,681.5,12769.766355140186
124,winter0016,2018-01-15,winterWeekend/Holiday,2018-01-16 01:37:30,2018-01-16 07:55:45,6.304166666666666,1537.5,475.75,11001.825431989366
113,winter0016,2018-01-16,winterWeekday,2018-01-17 02:44:15,2018-01-17 10:11:15,7.45,1604.25,611.25,8404.010025062656
118,winter0016,2018-01-17,winterWeekday,2018-01-18 01:09:00,2018-01-18 10:08:15,8.9875,1509.0,608.25,8104.088176352706
114,winter0016,2018-01-18,winterWeekday,2018-01-19 02:46:15,2018-01-19 09:40:00,6.895833333333333,1606.25,580.0,8938.660332541567
115,winter0016,2018-01-19,winterWeekday,2018-01-20 03:12:30,2018-01-20 10:54:30,7.7,1632.5,654.5,17318.46153846154
119,winter0016,2018-01-20,winterWeekend/Holiday,2018-01-21 03:09:30,2018-01-21 12:54:30,9.75,1629.5,774.5,9916.766501890084
116,winter0016,2018-01-21,winterWeekend/Holiday,2018-01-22 03:14:15,2018-01-22 10:22:45,7.141666666666667,1634.25,622.75,12031.947261663287
121,winter0016,2018-01-22,winterWeekday,2018-01-23 02:48:45,2018-01-23 08:14:45,5.433333333333334,1608.75,494.75,0.0
120,winter0016,2018-01-23,winterWeekday,2018-01-23 00:00:00,2018-01-23 00:00:00,0.0,0.0,0.0,0.0
137,winter0052,2018-01-23,winterWeekday,2018-01-23 00:00:00,2018-01-23 00:00:00,0.0,0.0,0.0,4115.965657792039
128,winter0052,2018-01-24,winterWeekday,2018-01-25 00:02:45,2018-01-25 06:29:45,6.45,1442.75,389.75,10249.13233601841
134,winter0052,2018-01-25,winterWeekday,2018-01-26 00:36:00,2018-01-26 07:56:45,7.345833333333333,1476.0,476.75,14046.001321877064
130,winter0052,2018-01-26,winterWeekday,2018-01-27 02:51:30,2018-01-27 04:21:00,1.4916666666666667,1611.5,261.0,13219.169491525423
136,winter0052,2018-01-27,winterWeekend/Holiday,2018-01-28 00:01:00,2018-01-28 10:04:30,10.058333333333334,1441.0,604.5,15342.949701619778
135,winter0052,2018-01-28,winterWeekend/Holiday,2018-01-29 00:44:15,2018-01-29 06:14:45,5.508333333333334,1484.25,374.75,16601.242000474045
133,winter0052,2018-01-29,winterWeekday,2018-01-29 23:49:30,2018-01-30 06:14:15,6.4125,1429.5,374.25,21382.80028429282
138,winter0052,2018-01-30,winterWeekday,2018-01-30 23:49:30,2018-01-31 07:07:45,7.304166666666666,1429.5,427.75,12938.256611165525
131,winter0052,2018-01-31,winterWeekday,2018-02-01 00:08:45,2018-02-01 09:58:00,9.820833333333333,1448.75,598.0,15915.294117647058
132,winter0052,2018-02-01,winterWeekday,2018-02-02 01:03:15,2018-02-02 08:57:00,7.895833333333333,1503.25,537.0,19349.37674020133
139,winter0052,2018-02-02,winterWeekday,2018-02-03 04:24:15,2018-02-03 09:56:30,5.5375,1704.25,596.5,21997.195715676728
127,winter0052,2018-02-03,winterWeekend/Holiday,2018-02-03 22:46:45,2018-02-04 09:51:00,11.070833333333333,1366.75,591.0,8545.460636515912
129,winter0052,2018-02-04,winterWeekend/Holiday,2018-02-05 00:46:30,2018-02-05 05:20:00,4.558333333333334,1486.5,320.0,15955.938009787928
141,winter0052,2018-02-05,winterWeekday,2018-02-06 01:46:00,2018-02-06 09:55:00,8.15,1546.0,595.0,19753.846153846152
140,winter0052,2018-02-06,winterWeekday,2018-02-07 01:08:15,2018-02-07 06:59:30,5.854166666666667,1508.25,419.5,0.0
